RNUM,MEDIATITLE,PLACENAME,ADDRESS
11794,인현왕후의 남자,휘닉스제주 섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107
11795,인현왕후의 남자,제주국제공항,제주특별자치도 제주시 공항로 2
11827,일지매,선교장,강원도 강릉시 운정길 63 선교장
11829,일지매,문경새재 도립공원,경상북도 문경시 문경읍 새재로 932
11830,일지매,나주영상테마파크,전라남도 나주시 공산면 덕음로 450
11831,일지매,죽녹원,전라남도 담양군 담양읍 죽녹원로 119
11832,일지매,성흥산 사랑나무,충청남도 부여군 임천면 성흥로97번길 167
11844,자이언트,동명동성당,강원도 속초시 영랑로7길 10-5
11846,자이언트,두모마을,경상남도 남해군 상주면 양아로533번길 18
11847,자이언트,남해 염해마을,경상남도 남해군 서면 남서대로2309번길 72-20
11848,자이언트,염해등대,경상남도 남해군 서면 노구리 산174-2
11849,자이언트,합천 영상 테마파크,경상남도 합천군 용주면 합천호수로 757
11853,자이언트,순천드라마촬영장,전라남도 순천시 비례골길 24
11854,자이언트,신성리 갈대밭,충청남도 서천군 한산면 신성리 125-1
11859,작은 아씨들,오크밸리 리조트,강원도 원주시 지정면 오크밸리1길 66
11866,장난스런 키스,아프리카박물관,제주특별자치도 서귀포시 이어도로 49
11867,장난스런 키스,씨에스호텔앤리조트,제주특별자치도 서귀포시 중문관광로 196
11868,장미빛 연인들,남이섬,강원도 춘천시 남산면 남이섬길 1
11872,"장옥정, 사랑에 살다",광한루원,전라북도 남원시 요천로 1447
11890,저글러스,전주시 완산구 노송동 개인주택,전라북도 전주시 완산구 인봉1길 37-17
11891,저글러스,연미스튜디오,전라북도 전주시 완산구 팔달로 22-2
11903,저스티스,장흥교도소 세트장,전라남도 장흥군 장흥읍 원도리 191
11904,전설의 고향,광한루원,전라북도 남원시 요천로 1447
11909,전설의 마녀,제주국제공항,제주특별자치도 제주시 공항로 2
11912,전우치,나주영상테마파크,전라남도 나주시 공산면 덕음로 450
12108,절대 그이,삼탄아트마인,강원도 정선군 고한읍 함백산로 1445-44
12116,절대 그이,담양레이나CC,전라남도 담양군 다양 읍 깊은 실길 169
12127,제3의 매력,감천문화마을,부산광역시 사하구 감내2로 203
12164,제빵왕 김탁구,수암골 벽화마을,충청북도 청주시 상당구 수암로 58
12166,"제왕의 딸, 수백향",백제문화단지,충청남도 부여군 규암면 백제문로 455
12170,조선로코 녹두전,고산정,경상북도 안동시 도산면 가송길 177-42
12171,조선로코 녹두전,부용대,경상북도 안동시 풍천면 광덕솔밭길 72
12172,조선로코 녹두전,영주 무섬마을,경상북도 영주시 문수면 무섬로 238-2
12173,조선로코 녹두전,보리나라 학원농장,전라북도 고창군 공음면 학원농장길 154
12174,조선로코 녹두전,수선루,전라북도 진안군 마령면 강정리 산 57
12175,조선로코 녹두전,궁남지,충청남도 부여군 부여읍 궁남로 52
12182,좀비탐정,익산 교도소 세트장,전라북도 익산시 성당면 함낭로 207
12322,"지금, 헤어지는 중입니다",광안대교,부산광역시 수영구 민락동 광안대교
12362,지옥,목천로 20길,전라북도 익산시 동산동 목천로20길
12410,진심이 닿다,선문대학교 아산캠퍼스,충청남도 아산시 탕정면 선문로221번길 70
