mediatitle,place_name,address,positive_ratio,latitude,longitude
쌍갑포차,경암동 철길마을,전라북도 군산시 경촌4길 14,0.75,35.981291,126.737028
쌍갑포차,구룡마을 대나무숲,전라북도 익산시 금마면 신용리 560,0.5,36.014599,127.046024
나의 나라,성흥산 사랑나무,충청남도 부여군 임천면 성흥로97번길 167,0.7333333333333333,36.1971825,126.898347
또! 오해영,낙산 해수욕장,강원도 양양군 강현면 해맞이길 59,1.0,38.1164806,128.63426
검법남녀 2,부용대,경상북도 안동시 풍천면 광덕솔밭길 72,0.8333333333333334,36.542914,128.51663
아름다웠던 우리에게,탑정호수변생태공원,충청남도 논산시 부적면 충곡리 287-8,1.0,36.19184,127.1724
나의 나라,반곡지,경상북도 경산시 남산면 반곡리 246,0.8461538461538461,35.780498,128.806454
거침없이 하이킥,해비치호텔앤드리조트,제주특별자치도 서귀포시 표선면 민속해안로 537,0.7333333333333333,33.3235675,126.844477
맨투맨,사우스케이프오너스클럽,경상남도 남해군 창선면 흥선로 1545,0.6153846153846154,34.836501,128.07449
부암동 복수자들,유리트리트,강원도 홍천군 서면 한서로 1468-55,0.9444444444444444,37.636579,127.63422
구경이,동피랑 벽화마을,경상남도 통영시 동피랑1길 6-18,0.7692307692307693,34.845641,128.427523
아홉수 소년,묵호등대전망대,강원도 동해시 해맞이길 289,1.0,37.554268,129.1185
신데렐라와 네 명의 기사,대관령 양떼목장,강원도 평창군 대관령면 대관령마루길 483-32,1.0,37.689736,128.753045
악의 마음을 읽는 자들,직탕폭포,강원도 철원군 동송읍 장흥리 336-1,0.6666666666666666,38.20945,127.2655
군검사 도베르만,익산 교도소 세트장,전라북도 익산시 성당면 함낭로 207,0.8333333333333334,36.069334,126.93158
악의 마음을 읽는 자들,의림지,충청북도 제천시 모산동 241,0.75,37.17197,128.2093
알함브라 궁전의 추억,씨마크 호텔,강원도 강릉시 해안로406번길 2,0.7142857142857143,37.79799,128.9154
나빌레라,합천 영상 테마파크,경상남도 합천군 용주면 합천호수로 757,0.75,35.5489346,128.072475
