drama,review
순정에 반하다,뻔하고 유치한데 재밌다
순정에 반하다,사랑이라는 감정의 풀 스펙트럼. 감동적이었다.
슈츠,가볍게 볼만했다
스물다섯 스물하나,현실에서 시달리다 희도의 순수함을 보고 있으면 괜히 기분 좋아진다. 나한테 힘내라고 하는 것 같다. 현실 속의 이진이 되어 드라마를 보는 느낌
스물다섯 스물하나,서로가 서로에게 있어 힘이 되줄 때
스위트홈,CG돈 좀 써줘요 ... 몰입도가 중요한데...
스위트홈,기억이 있으면 감정도 배울수있다.
스위트홈,작가님/감독님 혼자 감동하며 울지말고 저도 좀 낍시다...
스위트홈,기대합니다.
스위트홈,나는 너무너무 재밌게 봤다.
스카이캐슬,공감되는것도 있구 재밌게 봤는데 ㅋㅋ 마지막에 뭐람 ㅋㅋㅋㅋ
스토브리그,달지 않고 맛있네요.
스토브리그,"숨겨진 이면을 탐색하는 박진감, 현장감."
스토브리그,새로우면서 재미있기까지.
슬기로운 감빵생활,‘감옥’이라는 생소한 공간을  유쾌하게 그려내었다.
시간,오랜만이다 이 느낌 이 맛에 영화를  보는게 아닐까
시간,"너무 재미있어서 보다가 ""잼있다""를 육성으로 외침."
시그널,무전은 다시 시작될 겁니다.
시지프스: the myth,꾸역꾸역 보고 있지만
시지프스: the myth,끝까지 본 나 칭찬해
시카고 타자기,유치한 재미가 있는데 반복되는 상황에 보다가 지치게 된다.
시카고 타자기,"OST가 좋고요, 노래가 진짜 좋고요, OST가 좋아요.."
시카고 타자기,덕질은 승리한다.
시카고 타자기,여기 우리의 얘기를 쓰겠소
시크릿 가든,귀엽고 시각적으로 즐거운 영화
시크릿 가든,"건강한 아이, 회복해가는 어른을 보는 것은 언제나 좋다. 자연의 아름다움을 보는 것이 즐거웠다."
시티홀,궁금했다 서울신청사 난 그냥 나쁘진 않던데 쨌든 그래도 너무행
시티홀,ㄹㄹ
식샤를 합시다 3,뭔가 다 어색하다
신데렐라와 네 명의 기사,유치하고 좋구만? 얼마나 좋아. 넷 다 훈훈하고. 네 명이 다 소담이 좋아해버려라. 완전 유치하게 가자.
신데렐라와 네 명의 기사,난 이게 왜재밌냐?
신데렐라와 네 명의 기사,오글거리는데 보게 된다 재밌어서 자존심 상함
신데렐라와 네 명의 기사,유치한 입맛에 저격
신사와 아가씨,나만 재밌나 ..?
신입사관 구해령,소재도 신선하고 좋았다
싸이코패스 다이어리,보고싶다..
쌈 마이웨이,걔가 날 우습게 본다고 내가 우스워 지나
쌈 마이웨이,배우들의 캐릭터에 대한 이해도가 돋보이는 작품.
